user,start_date,itemlv
ZeroToHer0,2020-10-02,1325
ZizonHeal,2021-03-19,1015
ZizonSitdown,2023-12-20,1580
zI존탱구,2021-09-27,93.33
zl존환등짱6,2023-12-21,1556.67
zl죤망치임건,2023-07-22,1500
z쿠우z4,2020-08-22,915.83
Z키키Z,2022-07-14,1460
가가드,2022-02-07,88.33
가경동달콤주먹,2022-04-19,302
가녀린오렌지,2023-12-23,1585
가닌아스,2020-10-31,960
가루야산책가자,2021-08-14,573.33
가르마카드긁기,2021-08-25,1408.33
가뿌요,2024-01-03,1568.33
가뿐한기분,2023-02-17,1385
가슴을울리는슬레이어,2023-01-25,1498.33
가시퍼,2023-11-15,725
가아으,2021-04-15,900
가양동개병,2023-07-24,1415
가언명제,2021-04-12,1340.83
가오리컴퍼니,2023-12-23,1480
가을안개솜털,2020-12-11,915
가을에는아이스아메리카노,2023-12-22,1582.5
가을향기숲,2024-07-11,1626.67
가지가지하는이서영,2022-12-22,122.5
가짜창질,2021-01-17,1325
각시딸,2023-12-20,1620
간단하게찍먹만해보려구해,2023-07-19,1520
간사한르나르,2022-01-13,1445
간지꿈,2022-01-06,1447.5
간지철망치,2022-01-21,1370
간코펀치,2023-12-26,1521.67
갈망소녀,2023-03-06,1340
갈증복치,2024-06-10,500
갈증이다시시작되혐,2023-12-21,1460
감귤팥빵,2023-07-21,1415
감기엔화e투벤,2021-07-15,1370
감동디트,2021-08-02,149.17
감딕씨,2022-01-29,1334.17
감몰랑,2021-03-06,1340
갑돌투어,2023-03-21,1601.67
갑질논란아이린,2023-07-20,1490
갓겜충사냥꾼,2023-06-30,1493.33
갓냥이상추,2024-06-20,1520
갓늅,2024-07-14,1640
갓련아,2023-01-19,1340
갓섬,2023-12-20,1550
갓성비,2023-12-21,1548.33
강계필,2024-07-13,1640
강남구강철이쑤시개,2021-05-02,61.67
강낭콩양갱,2021-10-03,1325
강냉아리13호,2023-01-19,1490
강딱밤,2023-12-22,1540
강력한호크아이,2021-04-06,634
강마린,2021-03-30,1370
강선랜드섹시바니걸알바,2022-11-12,1593.33
강숭늉,2023-11-07,500
강아지수달,2023-12-22,1460
강원기나강선이나똑같아,2020-09-30,550
강주강주야,2023-03-07,1460
강지응,2022-04-20,1377.5
강철총,2023-09-12,1470
강팅이요,2022-02-16,1417.5
강포길,2023-07-24,130
강해린악성개인팬,2024-03-04,1590
강해지고싶을땐닭가슴살,2023-01-21,1417.5
같은창이지만내창은쎄,2020-08-22,829.5
개강하는이창우,2021-08-22,1302
개고기소믈리에강형욱,2023-01-20,1340
개구리꽃밥,2022-01-21,360.83
개노답가족첫째아들홀붕이,2022-02-14,1540
개도장,2020-10-19,915
개들칫,2022-07-07,1447.5
개밥건슬,2024-07-11,1604.17
개불와사비,2023-04-19,1580.83
개뿔소서리스,2021-09-06,1370
개쨍쨍,2023-06-28,1415
개화EIIII,2023-02-14,1340
갤노트20,2020-08-23,960
갤럭시S21,2020-08-31,967.5
갤럭틱아이,2022-02-15,1370
걍중단하죠,2022-06-04,1520
거검,2022-01-06,1480
거무광,2024-01-11,1520
거절뺴고다가능합니다,2022-02-07,353.67
걱정말라고요,2023-07-20,1490
건구루미,2021-12-23,1351.67
건들면스킬안씀,2021-09-04,1422.5
건들면와구와구,2021-06-29,1325
건들면지옥행,2023-07-25,1490
건라잇,2021-01-28,915
건물사이에피어난모코코,2023-12-21,1590
건밸,2023-05-31,1560
건브릴,2022-01-31,141.67
건빵토끼,2021-01-27,955
건빵햄,2020-08-22,1015
건빵햄2,2020-10-08,1005
건슬궁당장토토의작은비행,2023-05-24,1580.83
건슬님열심히쏘시잖아,2023-09-23,1518.33
건슬링O7,2021-01-30,1343.33
건슬링어넘어려워,2021-01-28,915
건슬젤멋쟁이,2022-09-25,1400
건슬커요미,2021-01-30,1042.5
건입동뚜뚜,2022-03-10,1432.5
건츄꾸미,2021-08-31,1327.5
건캐스트,2023-02-02,1490
건태커,2022-03-15,1370
걸어다니는섬광에테르,2021-03-17,370
걸어서볼다이크까지,2023-03-26,1460
검새싹몬,2022-04-21,302
검은도아가,2022-01-12,90
검의소리4,2020-08-23,970
검정십자가2,2021-06-06,145
검정츄르,2022-03-15,1302
겁없는탕순이,2021-01-28,915
겉절이무침장인,2022-07-19,1361.67
게임을종료합니다W0x9,2020-10-18,962.5
겐노스케,2021-03-19,1408.33
겨쁘,2021-12-11,1415
겨울시작,2022-01-20,1370
겨울이내린날,2024-03-01,1520
겨울허그,2021-12-24,77.5
겨자소쓰,2021-10-06,586.67
격극,2021-12-23,1302
격투신동,2021-06-01,520
견문록,2023-12-26,1580
견살,2020-12-28,325
결세구,2022-01-26,1490
겸데런,2023-12-20,1475
겸이양식,2021-11-01,52.5
경기북부병무청,2021-02-12,61.67
경술국치,2021-08-26,57.5
경아얌,2022-05-13,1445
경현권,2024-01-17,1580
경호쿤,2020-09-09,1355.83
계란맛소녀,2024-07-12,1640
계란상하면계란안줄래요,2022-09-26,1040
계란식고문,2023-08-19,1500
계란안먹네,2022-12-24,1490
계란주는사람,2023-01-24,1490
계란줄겡,2022-12-22,1460
계룡대근무지원단,2024-01-07,500
고고학대마왕,2022-07-06,1352.5
고귀한밤,2023-12-23,1600
고급기마무사,2022-07-18,1460
고급물티슈,2021-08-27,1302
고급신상배럭,2021-01-30,970
고기굽는훈이,2023-01-20,1460
고기도껴주라,2022-07-23,191.67
고기물회밥,2021-06-07,607.5
고기잘써는여자,2022-02-09,1302
고대의마법서를주웠습니다,2021-08-11,91.83
고대의소서리스,2021-08-14,1430
고도리05,2022-11-21,1401.67
고독한냥이,2021-01-05,1326.67
고독한너의그곳,2021-01-29,1325
고독한방밀전사,2023-06-30,1510
고독한일상,2022-07-19,1460
고독해,2023-12-23,1600.83
고무고무JET바주카,2022-02-11,1508.33
고블중수,2023-01-25,1460
고빙owo,2022-05-30,600
고사리두부조림,2023-11-02,156.67
고소한감동란,2023-12-21,1540
고수버프,2021-07-24,1302
고스파,2021-07-15,1346.67
고신속인파이터,2022-07-12,1340
고야,2023-12-22,1590.83
고양이안키워요,2021-01-11,1327.5
고유08,2024-01-30,1472.5
고이양,2023-07-25,1415
고점박살,2023-12-22,1586.67
고정김,2022-11-16,1553.33
고츄바샤샥,2022-03-09,526.67
고치미루,2023-01-30,1340
고태의,2023-01-04,1477.5
곤고,2023-12-20,1515
곤뇽의힘,2024-07-14,1640
곤만,2024-02-16,635
곤잘레스김,2024-07-14,1640
곧미남버서커,2021-02-20,1350
곧휴가철인형님,2023-07-19,1490
골드D붕어,2020-08-22,992.5
골드벌이12,2021-07-15,1302
골드여포,2021-04-18,507.5
골드캐는다람쥐,2021-03-26,1319.17
골목길일방통행역주행빌런,2021-09-14,1302
골병씨,2023-12-20,1460
골팝,2021-03-07,1335
골프장갑,2023-01-21,1517.5
곰캐스커,2022-01-06,98.33
곰쾌,2024-03-30,1611.67
공길,2024-07-14,1640
공다해,2021-07-06,74.17
공덕동꿀주먹,2023-12-20,1580
공무투,2024-07-12,1640
공쓱5,2023-01-08,1340
공우경,2023-12-20,1460
공종,2022-02-08,1302
공주님말에는말대꾸하지마,2022-12-23,1422.5
공화가,2022-01-13,51.67
과구진종팔,2021-06-04,1005
과니과니과니과니당근당근,2022-10-30,1397.5
과속중,2023-10-26,1447.5
곽덕쳘,2022-12-31,1541.67
곽쥔주먹,2023-12-20,1563.33
광교산파우루,2021-01-08,955
광교산회장님,2022-02-15,1585
광기룩체스,2022-04-11,1370
광기에사로잡힌누님,2023-01-20,1427.5
광명블레OSH,2022-02-15,1302
광선건,2021-05-22,1356.67
광수양,2023-12-20,1545
광슈o,2022-01-21,460
광슈호크o,2022-02-22,1465
광안리칼잡이마원춘,2022-06-03,1480
광장동호랑이,2023-08-26,1587.5
광전사희동,2023-12-24,1580
광제온,2021-05-09,1325
광진구낫쟁이,2023-07-25,1510
괜찬아요어디다친데없어요,2020-12-25,875
교룡,2023-12-25,1583.33
교보문고눈팅범,2023-12-21,1603.33
교통범죄,2022-12-28,1600
구경하는역할,2021-07-09,53.33
구닷구,2023-02-10,1520
구대문파,2023-04-10,1540
구로동활쟁이,2021-05-15,61.67
구로팸,2021-05-16,437.5
구리낫,2023-07-20,1415
구리띠,2021-03-07,1050
구미동짱공사,2024-07-14,1640
구미호는아직도너를좋아해,2023-12-24,1510
구슬안먹으면딜버프X,2023-07-03,1496.67
구운크로플,2022-07-16,1340
구원의손길여섯,2023-12-23,1520
구이낭,2021-11-30,1447.5
구호자,2022-09-29,1565.83
국군대전병원,2021-03-21,915
국립중앙방구속,2023-01-19,1490
국물땡기는고운고춧가루,2023-01-12,1460
국물또없을줄알아,2023-07-20,1490
국소,2022-12-26,1462.5
국힙을제패한자민희진,2024-04-27,1600
군단장척추브레이커,2023-12-22,1553.33
군당,2023-12-21,1590
군필남바드,2021-05-06,1340
굴러댕김,2023-12-23,1558.33
굼쓰리터,2023-07-26,1500
궁께,2021-09-13,1415
궁뚱,2024-01-08,1545
궁상각치우,2020-10-16,1325
궁토,2021-12-23,1407.5
권묵,2023-12-20,1460
권사의길임,2023-12-22,1460
권신혀니,2024-07-12,1633.33
권왕곰도리,2023-12-26,1510
권왕날로먹냐,2023-12-22,1580
권왕러커,2024-07-14,1640
궝자,2023-02-04,95
귀닐름,2022-02-10,1302
귀여운29살,2022-12-28,51.67
귀여운햄세구,2022-01-21,1470
귀염뽀짝멍멍이,2021-09-05,1370
귀염뽀짝이잉,2023-07-02,160.83
귀염뽀짝큐티섹시바드,2022-02-02,1437.5
귀염뽀짝한,2022-01-23,1302
귀엽고깜찍하게죽는캐릭터,2023-07-19,1415
귀욤뽀작,2020-08-23,940.83
귀족게임사이퍼즈,2022-01-22,1550
귀찮아짜증나,2022-02-10,1420
규우으,2021-08-24,1302
규종팔,2023-12-25,1580
귤립,2023-07-31,1600
귤조준,2024-07-11,1636.67
그건왜바드세요,2023-03-08,70.83
그게어렵나,2023-01-18,1410
그게왜죽어,2021-07-21,1415
그게죽어,2023-01-22,1493.33
그냥내가바드함,2021-08-12,1370
그냥태리온,2022-02-02,960
그넘상,2022-07-06,1465
그녀도내맘을알카,2023-12-20,1558.33
그대마음에스며드는여우비,2022-07-07,88.33
그런감각,2021-04-23,550
그런브레이커아닙니다,2023-12-20,1580
그레이페리,2021-12-15,1370
그려도,2022-01-14,1302
그려두디,2022-01-21,1460
그린그린즈,2021-08-12,1302
그린스크린X,2022-01-15,1349.17
그린터치대리,2022-12-22,1460
그림그리는망나니,2022-01-12,1460
그말로는오직죽음뿐,2023-07-19,1490
그믐,2023-12-20,1622.5
그믐만월소울,2024-06-12,1580
그믐에뜬달,2023-07-31,1465
그앗파파,2022-01-25,1325
그웬의싹둑싹둑,2023-07-29,1500
그읏참,2021-04-18,900
그저바드니까,2021-12-09,1415
그치o,2021-02-27,920
그해여름시에나,2023-06-29,63.33
그해중수는,2023-10-16,1540
극달자,2024-05-12,1610.83
극딜특화주머니슬레,2023-08-05,1460
근라소니,2023-12-21,1520
근원접속,2022-05-29,1415
근효,2024-02-07,1608.33
글맥이,2022-01-31,1370
금강다루,2021-07-09,1377.5
금강불괴동휭녕,2023-09-23,1587.5
금강체,2023-12-23,1580
금권혁강빈선,2022-11-23,1580
금나아,2021-02-14,1437.5
금발캐릭터,2023-07-23,1415
금발태닝갸루소서눈나,2022-07-13,177.5
금발태닝제이스,2020-10-01,915
금빛선화,2023-12-20,1571.67
금사아,2022-07-11,114.17
금새록,2023-07-20,1500
금손쭌이,2020-09-29,1050
금아경,2024-04-09,1610
금옥경할머니의황천길주먹,2024-01-15,1580
금요일만할게요,2022-12-28,1399.17
금적EIIII,2022-01-25,1445
금쪽몽,2024-06-02,1355
금채머리,2021-12-31,1422.5
금테량,2022-07-24,1395
금힘찬,2022-12-29,1506.67
급할땐타대의힘,2023-07-21,1490
급해서유산의힘씀,2022-03-02,1447.5
긑강선,2023-01-04,1563.33
긔뉴창,2021-07-20,1445
기공끼상,2023-07-19,1415
기공사가인생인사람,2023-07-06,1480
기니우나,2023-12-22,1580
기다란성기삽니다,2022-03-21,302
기다려내가먼저맞을꺼야,2023-11-20,192.5
기다리고있었어요,2021-06-03,61.67
기둥이커,2023-12-20,1510
기만권,2021-03-21,1370
기묘츠,2021-05-01,150.83
기무세원,2024-06-15,1520
기믕서,2023-01-19,1566.67
기부니고기앞,2022-07-11,1460
기분좋은소울이터,2023-07-19,1490
기쁌,2021-01-21,1037.5
기사단뚱이,2021-06-24,526.67
기사콤,2024-07-12,1640
기상김,2022-07-06,1507.5
기상딸래미,2022-07-11,72.5
기상술사떡상기원,2022-01-30,1302
기상술사혜정,2022-07-19,1490
기상융s,2022-08-23,57.5
기상이돈돈,2022-09-29,600
기상이랑우산쓸래,2022-07-18,1500
기상입니까,2022-07-06,1460
기상주의보발효,2022-07-12,1492.5
기상청을싫어하는청해아가,2022-07-07,1415
기상카블,2023-10-12,1608.33
기상캐스더콩,2023-06-28,1467.5
기상캐스터로리잔나,2024-01-25,1546.67
기상캐스터제이,2024-07-14,1640
기상캐스터코비,2022-07-07,1487.5
기상했더니주말순삭된코코,2022-11-13,1460
기에나의바다,2023-11-22,1613.33
기여워요,2022-01-26,1415
기요욧,2020-09-15,960
기쪄쪄먹는만두,2021-01-05,915
기쮸쮸였던,2022-08-03,1592.5
기차타고전국일주,2023-09-20,1422.5
기혜정,2021-08-27,51.67
기휘바,2021-10-15,960
긴급자동차란다,2021-07-09,1392.5
긴활,2023-12-25,1460
길로띤,2023-01-18,1490
길빵충척살대원1,2021-03-29,1005
길에서빵먹기,2023-12-20,1601.67
길잃은승객,2023-11-06,1460
길지은,2023-01-19,1415
김가불슨상님,2021-03-21,960
김건영,2023-12-20,1460
김김바바다,2022-06-14,600
김날듬,2021-08-12,1374.17
김넬라씨,2022-07-15,1445
김뉴랑,2020-08-22,985
김대균,2021-08-12,1370
김도원,2023-12-20,1460
김독비,2022-01-08,1302
김따푼,2022-10-23,51.67
김무적,2024-06-04,1520
김백율,2023-12-22,1540
김버찌6,2023-12-20,1510
김볼,2022-11-11,460
김봉티,2022-09-19,1585
김뿌앙,2021-01-03,1325
김선비와이몽룡해장국드실,2022-08-21,1050
김선인,2023-09-21,1490
김소,2020-09-01,975
김솔타,2021-05-29,677
김씩크,2023-01-21,1544.17
김오름,2023-12-20,1580
김욱희,2022-07-09,1465
김으닛,2021-04-17,1340
김츤츤,2024-07-13,1630
김코뭉,2022-09-25,1375.83
김하해,2021-12-23,94.17
깊은낮잠,2021-05-28,915
깊은산속옹달새,2023-11-16,1460
까꿍보라,2020-10-07,930
까년,2021-02-01,1340
까리하장,2022-02-19,1302
까만나비별,2022-12-10,299.67
까만도아가,2022-09-30,1540
까망문어,2022-05-05,1563.33
까망베르티버,2023-12-21,1580
까망은몽몽이,2024-07-13,1640
까먹는까마귀,2023-12-22,1472.5
까삐까,2022-12-21,1445
까칠은우,2022-01-25,1560
